gid,placename,pop,x,y
67774,San Miguel Xoxtla,11269,-98.3088888888889,19.1691666666667
67827,Cholula De Rivadavia,87897,-98.3061111111111,19.0613888888889
67829,Santiago Momoxpan,17622,-98.2669444444444,19.0736111111111
67859,San Salvador El Seco,17263,-97.6405555555556,19.1361111111111
67955,San Salvador Huixcolotla,12148,-97.7708333333333,18.9219444444444
68076,Santiago Miahuatlán,13909,-97.4419444444444,18.5544444444444
68160,Tecamachalco,28679,-97.7277777777778,18.8852777777778
68173,San Mateo Tlaixpan,10513,-97.7352777777778,18.915
68246,Tehuacán,248716,-97.3930555555556,18.4638888888889
68491,Tepatlaxco De Hidalgo,16085,-97.9708333333333,19.0808333333333
68502,Tepeaca,27449,-97.9025,18.9680555555556
68771,Teziutlán,58699,-97.3605555555555,19.8188888888889
69346,Villa Lázaro Cárdenas (La Uno),12253,-97.7025,20.4644444444444
69511,Xicotepec De Juárez,39803,-97.955,20.2741666666667
69833,Zacatlán,33736,-97.9605555555556,19.9333333333333
69972,Zaragoza,10743,-97.5566666666667,19.7727777777778
70112,San Sebastián Zinacatepec,15592,-97.245,18.3347222222222
70398,Asunción Nochixtlán,13284,-97.225,17.4572222222222
70609,Ciudad Ixtepec,25381,-95.1,16.5627777777778
70763,Cuilápam De Guerrero,12360,-96.7816666666667,16.9972222222222
70820,Chahuites,10763,-94.1955555555556,16.2866666666667
71097,Heroica Ciudad De Huajuapan De León,53043,-97.7758333333333,17.8038888888889
71174,Huautla De Jiménez,10528,-96.8430555555556,18.1305555555556
71305,Heroica Ciudad De Juchitán De Zaragoza,74825,-95.0194444444444,16.4333333333333
71407,Loma Bonita,31485,-95.8805555555555,18.1069444444444
71683,Matías Romero Avendaño,18944,-95.0416666666667,16.8722222222222
71925,Miahuatlán De Porfirio Díaz,23940,-96.5961111111111,16.3283333333333
72113,Oaxaca De Juárez,255029,-96.72,17.0677777777778
72149,Ocotlán De Morelos,15016,-96.675,16.7913888888889
72311,Putla Villa De Guerrero,10925,-97.9291666666667,17.0258333333333
72415,Salina Cruz,76596,-95.1958333333333,16.1825
72775,San Antonio De La Cal,20198,-96.7005555555556,17.0283333333333
72873,San Blas Atempa,11959,-95.2255555555556,16.3263888888889
73367,San Francisco Telixtlahuaca,10618,-96.9041666666667,17.2944444444444
73453,San Jacinto Amilpas,13860,-96.7625,17.1005555555556
73870,San Juan Bautista Tuxtepec,101810,-96.1238888888889,18.0861111111111
76061,Puerto Escondido,25902,-97.0716666666667,15.8619444444444
76138,San Pedro Pochutla,13685,-96.4652777777778,15.7444444444444
76531,Río Grande O Piedra Parada,12943,-97.4375,16.0136111111111
76841,El Rosario,11707,-96.6916666666667,17.0444444444444
77072,Santa Cruz Amilpas,10120,-96.6833333333333,17.0583333333333
77230,Santa Cruz Xoxocotlán,67086,-96.7333333333333,17.0263888888889
77354,Santa Lucía Del Camino,44023,-96.6933333333333,17.0625
77423,Heroica Ciudad De Tlaxiaco,17543,-97.6791666666667,17.2694444444444
77534,Santa María Atzompa,21788,-96.7777777777778,17.1013888888889
77938,Crucecita,15130,-96.135,15.7688888888889
78810,Santiago Jamiltepec,10107,-97.82,16.2783333333333
79131,Santiago Pinotepa Nacional,29604,-98.0502777777778,16.3380555555556
79848,Santo Domingo Tehuantepec,42082,-95.2388888888889,16.3244444444444
80376,Tlacolula De Matamoros,13821,-96.4791666666667,16.9541666666667
80443,Unión Hidalgo,13683,-94.8297222222222,16.475
80546,Villa De Zaachila,13959,-96.7491666666667,16.9508333333333
80550,Vicente Guerrero,13794,-96.7013888888889,16.9330555555556
80642,Zimatlán De Álvarez,10986,-96.785,16.8661111111111
80777,Ciudad De Allende,26065,-100.020277777778,25.2836111111111
80841,Anáhuac,16628,-100.132222222222,27.2405555555556
81104,Ciudad Apodaca,467157,-100.188888888889,25.7816666666667
81396,Cadereyta Jiménez,68111,-100.001388888889,25.5905555555556
81776,Ciénega De Flores,15162,-100.166944444444,25.9533333333333
