gid,genus,species,x,y
774415,Quercus,acutifolia,-92.3194444444444,15.3263888888889
774416,Quercus,acutifolia,-92.9436111111111,15.7227777777778
774417,Quercus,acutifolia,-104.34444,20.12889
774418,Quercus,acutifolia,-98.91,19.5333333333333
774419,Quercus,acutifolia,-97.175,19.616666666667
774420,Quercus,acutifolia,-99.6686111111111,17.5022222222222
774421,Quercus,acutifolia,-99.67639,17.65778
774422,Quercus,acutifolia,-92.2430555555556,15.3625
774423,Quercus,acutifolia,-92.9305555555556,16.7555555555556
774424,Quercus,acutifolia,-92.8194444444444,16.7888888888889
774425,Quercus,acutifolia,-100.857222222222,19.7169444444444
774426,Quercus,acutifolia,-101.736666666667,19.6716666666667
774427,Quercus,acutifolia,-99.8097222222222,24.5047222222222
774428,Quercus,acutifolia,-97.13694,16.23
774429,Quercus,acutifolia,-101.73666666667,19.671666666667
774430,Quercus,acutifolia,-101.98,19.595
774431,Quercus,acutifolia,-97.68,17.268333333333
774432,Quercus,acutifolia,-92.9416666666667,16.775
774433,Quercus,acutifolia,-96.975,19.4916666666667
774434,Quercus,acutifolia,-101.876666666667,19.5127777777778
774435,Quercus,acutifolia,-93.1527777777778,17.1152777777778
774436,Quercus,acutifolia,-92.903875,17.1828277777778
774437,Quercus,acutifolia,-93.0305555555556,15.8138888888889
774438,Quercus,acutifolia,-92.9791666666667,16.0347222222222
774439,Quercus,acutifolia,-93.7833333333333,16.3833333333333
774440,Quercus,acutifolia,-96.923333333333,17.51
774441,Quercus,acutifolia,-101.665,19.4416666666667
774442,Quercus,acutifolia,-92.5680555555556,16.3430555555556
774443,Quercus,acutifolia,-99.569,17.934
774444,Quercus,acutifolia,-97.637,19.408
774445,Quercus,acutifolia,-104.02333333333,19.425
774446,Quercus,acutifolia,-96.952,19.634
774447,Quercus,acutifolia,-97.175,19.6166666666667
774448,Quercus,acutifolia,-92.3555555555556,16.5083333333333
774449,Quercus,acutifolia,-97.567,17.687
774450,Quercus,acutifolia,-92.0922222222222,15.5061111111111
774451,Quercus,acutifolia,-100.308333333333,25.6711111111111
774452,Quercus,acutifolia,-92.9166666666667,17.1944444444444
774454,Quercus,acutifolia,-92.5611111111111,16.3875
774455,Quercus,acutifolia,-99.2102777777778,20.8736111111111
774456,Quercus,acutifolia,-97.83,17.305
774457,Quercus,acutifolia,-96.9583333333333,19.625
774459,Quercus,acutifolia,-98.227,20.335
774460,Quercus,acutifolia,-101.8,19.463333333333
774461,Quercus,acutifolia,-103.175,18.7916666666667
774462,Quercus,acutifolia,-100.175,17.425
774463,Quercus,acutifolia,-93.1638888888889,17.1305555555556
774464,Quercus,acutifolia,-93.8166666666667,16.4333333333333
774465,Quercus,acutifolia,-101.736666666667,19.6716666666667
774466,Quercus,acutifolia,-98.775,20.756
774467,Quercus,acutifolia,-92.9522222222222,15.7213888888889
774469,Quercus,acutifolia,-92.9083333333333,17.1888888888889
774470,Quercus,acutifolia,-101.675,20.625
774471,Quercus,acutifolia,-100.828333333333,19.7
774472,Quercus,acutifolia,-97.6916666666667,18.4083333333333
774473,Quercus,acutifolia,-100.161,25.262
774474,Quercus,acutifolia,-99.925,17.6583333333333
774475,Quercus,acutifolia,-92.65825,15.46
774476,Quercus,acutifolia,-93.0508055555556,15.8059166666667
774477,Quercus,acutifolia,-99.675,17.5583333333333
774478,Quercus,acutifolia,-91.5166666666667,16.4944444444444
774479,Quercus,acutifolia,-92.8666666666667,16.9833333333333
774480,Quercus,acutifolia,-97.68,17.2683333333333
774481,Quercus,acutifolia,-98.552,19.785
774482,Quercus,acutifolia,-93.0763888888889,17.1888888888889
774483,Quercus,acutifolia,-93.0333333333333,15.7555555555556
774484,Quercus,acutifolia,-92.7096111111111,15.5768055555556
774485,Quercus,acutifolia,-98.883333333333,19.438333333333
774486,Quercus,acutifolia,-99.1044444444444,21.2322222222222
774487,Quercus,acutifolia,-97.622195,17.204977
774488,Quercus,acutifolia,-96.9,16.445
774489,Quercus,acutifolia,-94.125,16.5055555555556
774490,Quercus,acutifolia,-92.8777777777778,17.0986111111111
774491,Quercus,acutifolia,-92.3194444444444,15.3263888888889
774492,Quercus,acutifolia,-96.9722222222222,19.5333333333333
774493,Quercus,acutifolia,-93.1569444444444,17.1513888888889
774494,Quercus,acutifolia,-92.4763888888889,15.5916666666667
774495,Quercus,acutifolia,-101.53666666667,19.4
774496,Quercus,acutifolia,-97.3333333333333,18.05
774497,Quercus,acutifolia,-102.36333333333,19.336666666667
774498,Quercus,acutifolia,-93.1666666666667,16.8
774499,Quercus,acutifolia,-94.1666666666667,16.5416666666667
774500,Quercus,acutifolia,-101.665,19.442
774501,Quercus,acutifolia,-99.84,17.6516666666667
774502,Quercus,acutifolia,-94.0152777777778,16.4527777777778
774503,Quercus,acutifolia,-99.4540972222222,17.5458583333333
774505,Quercus,acutifolia,-92.9027777777778,16.8527777777778
774506,Quercus,acutifolia,-101.73666666667,19.671666666667
774507,Quercus,acutifolia,-96.9233333333333,17.51
774508,Quercus,acutifolia,-95.95,16.2
774509,Quercus,acutifolia,-100.82694444444,19.858333333333
774510,Quercus,acutifolia,-99.708,17.542
774511,Quercus,acutifolia,-101.73666666667,19.671666666667
774512,Quercus,acutifolia,-98.573333333333,20.651666666667
774513,Quercus,acutifolia,-93.7152777777778,16.4152777777778
774514,Quercus,acutifolia,-99.685,17.5583333333333
774515,Quercus,acutifolia,-97.333,18.05
774516,Quercus,acutifolia,-103.709728,19.460536
774517,Quercus,acutifolia,-100.348,19.342
774519,Quercus,acutifolia,-91.7583333333333,16.8791666666667
774520,Quercus,acutifolia,-99.1377777777778,21.2875
774521,Quercus,acutifolia,-99.07417,17.78028
774522,Quercus,acutifolia,-96.25,17.083
774523,Quercus,acutifolia,-98.089805555556,17.274666666667
774524,Quercus,acutifolia,-101.665,19.441666666667
774525,Quercus,acutifolia,-98.017,18.956
774526,Quercus,acutifolia,-100.85333333333,19.675
774527,Quercus,acutifolia,-97.618,18.142
